SKU,Hero Image,URL,Product Type,MSRP,Title,Decription,Collection,Metal Type1,Metal Type2,Metal Type 3,GemType1,GemType2,GemType3,GemType4
PAC3020_O7000_000EY,https://media.pomellato.com/media/catalog/product/P/A/PAC3020_O7000_000EY_10.jpg,https://www.pomellato.com/us_en/iconica-ring-pac3020-o7000-000ey?size=19,Ring,4050,Iconica Ring,,Iconica,18k Rose Gold,,,Peridot,,,
POC3020_O7000_000TL,https://media.pomellato.com/media/catalog/product/P/O/POC3020_O7000_000TL_10.jpg,https://www.pomellato.com/us_en/iconica-earrings-poc3020-o7000-000tl?size=152,Earrings,8050,Iconica Earrings,,Iconica,18k Rose Gold,,,Blue London Topaz,,,
POC3020_O7000_000GP,https://media.pomellato.com/media/catalog/product/P/O/POC3020_O7000_000GP_10.jpg,https://www.pomellato.com/us_en/iconica-earrings-poc3020-o7000-000gp?size=152,Earrings,7850,Iconica Earrings,,Iconica,18k Rose Gold,,,Garnet,,,
POC3020_O7000_000EY,https://media.pomellato.com/media/catalog/product/P/O/POC3020_O7000_000EY_10.jpg,https://www.pomellato.com/us_en/iconica-earrings-poc3020-o7000-000ey?size=152,Earrings,8250,Iconica Earrings,,Iconica,18k Rose Gold,,,Peridot,,,
PCC3020_O7000_000TL,https://media.pomellato.com/media/catalog/product/P/C/PCC3020_O7000_000TL_10.jpg,https://www.pomellato.com/us_en/iconica-necklace-pcc3020-o7000-000tl?size=162,Necklace,8550,Iconica Necklace,,Iconica,18k Rose Gold,,,Blue London Topaz,,,
PCC3020_O7000_000GP,https://media.pomellato.com/media/catalog/product/P/C/PCC3020_O7000_000GP_10.jpg,https://www.pomellato.com/us_en/iconica-necklace-pcc3020-o7000-000gp?size=162,Necklace,8450,Iconica Necklace,,Iconica,18k Rose Gold,,,Garnet,,,
PCC3020_O7000_000EY,https://media.pomellato.com/media/catalog/product/P/C/PCC3020_O7000_000EY_10.jpg,https://www.pomellato.com/us_en/iconica-necklace-pcc3020-o7000-000ey?size=162,Necklace,8650,Iconica Necklace,,Iconica,18k Rose Gold,,,Peridot,,,
PAC3050_O7WHR_DB0BR,https://media.pomellato.com/media/catalog/product/P/A/PAC3050_O7WHR_DB0BR_10.jpg,https://www.pomellato.com/us_en/sabbia-ring-pac3050-o7whr-db0br?size=18,Ring,2800,Sabbia Ring,,Sabbia,18k Rose Gold,,,Brown Diamond,Diamond,,
PAC3051_O6BWR_DB0BR,https://media.pomellato.com/media/catalog/product/P/A/PAC3051_O6BWR_DB0BR_10.jpg,https://www.pomellato.com/us_en/sabbia-ring-pac3051-o6bwr-db0br?size=18,Ring,4050,Sabbia Ring,,Sabbia,18k Rose Gold,,,Brown Diamond,Diamond,,
PAB4070_O7000_DB000,https://media.pomellato.com/media/catalog/product/P/A/PAB4070_O7000_DB000_10.jpg,https://www.pomellato.com/us_en/sabbia-ring-pab4070-o7000-db000?size=18,Ring,2450,Sabbia Ring,,Sabbia,18k Rose Gold,,,Diamond,,,
PHC3052_O7WHR_DBRB0,https://media.pomellato.com/media/catalog/product/P/H/PHC3052_O7WHR_DBRB0_10.jpg,https://www.pomellato.com/us_en/sabbia-earring-phc3052-o7whr-dbrb0?size=152,Earring,2800,Sabbia Earring,,Sabbia,18k Rose Gold,,,Brown Diamond,Diamond,,
PHC3052_O6BWR_DB0BR,https://media.pomellato.com/media/catalog/product/P/H/PHC3052_O6BWR_DB0BR_10.jpg,https://www.pomellato.com/us_en/sabbia-earring-phc3052-o6bwr-db0br?size=152,Earring,3750,Sabbia Earring,,Sabbia,18k Rose Gold,,,Brown Diamond,Diamond,,
POB2042_O7000_DB000,https://media.pomellato.com/media/catalog/product/P/O/POB2042_O7000_DB000_10.jpg,https://www.pomellato.com/us_en/sabbia-earrings-pob2042-o7000-db000?size=152,Earrings,4800,Sabbia Earrings,,Sabbia,18k Rose Gold,,,Diamond,,,
PAC3010_O7000_00000,https://media.pomellato.com/media/catalog/product/P/A/PAC3010_O7000_00000_10.jpg,https://www.pomellato.com/us_en/catene-ring-pac3010-o7000-00000?size=19,Ring,7000,Catene Ring,,Catene,18k Rose Gold,,,,,,
PAC3011_O7000_DB000,https://media.pomellato.com/media/catalog/product/P/A/PAC3011_O7000_DB000_10.jpg,https://www.pomellato.com/us_en/catene-ring-pac3011-o7000-db000?size=19,Ring,15250,Catene Ring,,Catene,18k Rose Gold,,,Diamond,,,
PAC3011_O2WHR_DB000,https://media.pomellato.com/media/catalog/product/P/A/PAC3011_O2WHR_DB000_10.jpg,https://www.pomellato.com/us_en/catene-ring-pac3011-o2whr-db000?size=21,Ring,16700,Catene Ring,,Catene,18k White Gold,,,Diamond,,,
POC1010_O7000_00000,https://media.pomellato.com/media/catalog/product/P/O/POC1010_O7000_00000_10.jpg,https://www.pomellato.com/us_en/catene-earrings-poc1010-o7000-00000?size=152,Earrings,7600,Catene Earrings,,Catene,18k Rose Gold,,,,,,
